team,logo_url
Golden State Valkyries,https://a.espncdn.com/combiner/i?img=/i/teamlogos/wnba/500/gs.png&h=100&w=100
Indiana Fever,https://a.espncdn.com/combiner/i?img=/i/teamlogos/wnba/500/ind.png&h=100&w=100
Los Angeles Sparks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/wnba/500/la.png&h=100&w=100
Minnesota Lynx,https://a.espncdn.com/combiner/i?img=/i/teamlogos/wnba/500/min.png&h=100&w=100
Phoenix Mercury,https://a.espncdn.com/combiner/i?img=/i/teamlogos/wnba/500/phx.png&h=100&w=100
Washington Mystics,https://a.espncdn.com/combiner/i?img=/i/teamlogos/wnba/500/wsh.png&h=100&w=100
Toronto Tempo,https://cdn.wnba.com/logos/wnba/1611661332/primary/D/logo.svg
National Football League,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/nfl.png&h=100&w=100
NFL Players Association,https://nflpa.com/favicon-32x32.png
Arizona Cardinals,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ari.png&h=100&w=100
Atlanta Falcons,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/atl.png&h=100&w=100
Baltimore Ravens,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/bal.png&h=100&w=100
Buffalo Bills,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/buf.png&h=100&w=100
Carolina Panthers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/car.png&h=100&w=100
Chicago Bears,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/chi.png&h=100&w=100
Cleveland Browns,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/cle.png&h=100&w=100
Dallas Cowboys,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/dal.png&h=100&w=100
Detroit Lions,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/det.png&h=100&w=100
Denver Broncos,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/den.png&h=100&w=100
Green Bay Packers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/gb.png&h=100&w=100
Houston Texans,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/hou.png&h=100&w=100
Indianapolis Colts,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ind.png&h=100&w=100
Jacksonville Jaguars,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/jax.png&h=100&w=100
Kansas City Chiefs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/kc.png&h=100&w=100
Las Vegas Raiders,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/lv.png&h=100&w=100
Los Angeles Chargers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/lac.png&h=100&w=100
Los Angeles Rams,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/lar.png&h=100&w=100
Minnesota Vikings,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/min.png&h=100&w=100
New Orleans Saints,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/no.png&h=100&w=100
New York Giants,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/nyg.png&h=100&w=100
New York Jets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/nyj.png&h=100&w=100
Philadelphia Eagles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/phi.png&h=100&w=100
Pittsburgh Steelers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/pit.png&h=100&w=100
San Francisco 49ers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/sf.png&h=100&w=100
Tampa Bay Buccaneers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/tb.png&h=100&w=100
Tennessee Titans,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ten.png&h=100&w=100
Washington Commanders,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/wsh.png&h=100&w=100
National Hockey League,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/nhl.png?w=100&h=100
Maple Leaf Sports & Entertainment,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/tor.png&h=100&w=100
Anaheim Ducks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/ana.png&h=100&w=100
Boston Bruins,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/bos.png&h=100&w=100
Buffalo Sabres,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/buf.png&h=100&w=100
Calgary Flames,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/cgy.png&h=100&w=100
Carolina Hurricanes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/car.png&h=100&w=100
Chicago Blackhawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/chi.png&h=100&w=100
Detroit Red Wings,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/det.png&h=100&w=100
Los Angeles Kings,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/la.png&h=100&w=100
Nashville Predators,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/nsh.png&h=100&w=100
New Jersey Devils,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/nj.png&h=100&w=100
New York Islanders,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/nyi.png&h=100&w=100
New York Rangers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/nyr.png&h=100&w=100
Pittsburgh Penguins,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/pit.png&h=100&w=100
St Louis Blues,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/stl.png&h=100&w=100
Tampa Bay Lightning,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/tb.png&h=100&w=100
Utah Mammoth,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/uta.png&h=100&w=100
Vancouver Canucks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/van.png&h=100&w=100
Vegas Golden Knights,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/vgk.png&h=100&w=100
US Soccer Federation,https://cdn.sanity.io/images/oyf3dba6/production/bf72ee7b299178803e565d6c872cdb4baf2aef2d-640x877.png
Major League Soccer,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/130.png
Atlanta United,https://images.fotmob.com/image_resources/logo/teamlogo/773958.png
Austin FC,https://images.fotmob.com/image_resources/logo/teamlogo/1218886.png
Charlotte FC,https://images.fotmob.com/image_resources/logo/teamlogo/1323940.png
Chicago Fire,https://images.fotmob.com/image_resources/logo/teamlogo/6397.png
Colorado Rapids,https://images.fotmob.com/image_resources/logo/teamlogo/8314.png
Columbus Crew,https://images.fotmob.com/image_resources/logo/teamlogo/6001.png
CF Montreal,https://images.fotmob.com/image_resources/logo/teamlogo/161195.png
DC United,https://images.fotmob.com/image_resources/logo/teamlogo/6602.png
FC Cincinnati,https://images.fotmob.com/image_resources/logo/teamlogo/722265.png
Houston Dynamo,https://images.fotmob.com/image_resources/logo/teamlogo/8259.png
Inter Miami CF,https://images.fotmob.com/image_resources/logo/teamlogo/960720.png
LA Galaxy,https://images.fotmob.com/image_resources/logo/teamlogo/6637.png
Los Angeles FC,https://images.fotmob.com/image_resources/logo/teamlogo/867280.png
Nashville SC,https://images.fotmob.com/image_resources/logo/teamlogo/915807.png
New England Revolution,https://images.fotmob.com/image_resources/logo/teamlogo/6580.png
New York City FC,https://images.fotmob.com/image_resources/logo/teamlogo/546238.png
Orlando City SC,https://images.fotmob.com/image_resources/logo/teamlogo/267810.png
Portland Timbers,https://images.fotmob.com/image_resources/logo/teamlogo/307690.png
Real Salt Lake,https://images.fotmob.com/image_resources/logo/teamlogo/6606.png
San Diego FC,https://images.fotmob.com/image_resources/logo/teamlogo/1701119.png
Seattle Sounders,https://images.fotmob.com/image_resources/logo/teamlogo/130394.png
Toronto FC,https://images.fotmob.com/image_resources/logo/teamlogo/56453.png
Vancouver Whitecaps,https://images.fotmob.com/image_resources/logo/teamlogo/307691.png
National Women's Soccer League,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9134.png
Angel City,https://images.fotmob.com/image_resources/logo/teamlogo/1335914.png
Bay FC,https://images.fotmob.com/image_resources/logo/teamlogo/1607273.png
Boston Legacy,https://bostonlegacyfc.com/cdn/shop/files/ARTWORK.png
Chicago Stars,https://images.fotmob.com/image_resources/logo/teamlogo/189393.png
Denver Summit,https://www.denversummitfc.com/cdn/shop/files/summit-crest-outline_6e346335-384a-41cf-9059-f45924196559.png
Houston Dash,https://images.fotmob.com/image_resources/logo/teamlogo/521233.png
Kansas City Current,https://images.fotmob.com/image_resources/logo/teamlogo/1237561.png
NJ/NY Gotham FC,https://images.fotmob.com/image_resources/logo/teamlogo/189397.png
Portland Thorns,https://images.fotmob.com/image_resources/logo/teamlogo/433029.png
San Diego Wave,https://images.fotmob.com/image_resources/logo/teamlogo/1335917.png
Seattle Reign,https://images.fotmob.com/image_resources/logo/teamlogo/433031.png
Washington Spirit,https://images.fotmob.com/image_resources/logo/teamlogo/433030.png
English Football Association,https://cdn.thefa.com/thefawebsite/assets/images/favicons/www.thefa.com/favicon-96x96.png
Arsenal,https://images.fotmob.com/image_resources/logo/teamlogo/9825.png
Aston Villa,https://images.fotmob.com/image_resources/logo/teamlogo/10252.png
Blackburn Rovers,https://images.fotmob.com/image_resources/logo/teamlogo/8655.png
Bournemouth,https://images.fotmob.com/image_resources/logo/teamlogo/8678.png
Brentford,https://images.fotmob.com/image_resources/logo/teamlogo/9937.png
Brighton & Hove Albion,https://images.fotmob.com/image_resources/logo/teamlogo/10204.png
Bristol Rovers,https://images.fotmob.com/image_resources/logo/teamlogo/10104.png
Burnley,https://images.fotmob.com/image_resources/logo/teamlogo/8191.png
Chelsea,https://images.fotmob.com/image_resources/logo/teamlogo/8455.png
Coventry City,https://images.fotmob.com/image_resources/logo/teamlogo/8669.png
Crystal Palace,https://images.fotmob.com/image_resources/logo/teamlogo/9826.png
Derby County,https://images.fotmob.com/image_resources/logo/teamlogo/10170.png
Everton,https://images.fotmob.com/image_resources/logo/teamlogo/8668.png
Hull City,https://images.fotmob.com/image_resources/logo/teamlogo/8667.png
Leeds United,https://images.fotmob.com/image_resources/logo/teamlogo/8463.png
Leicester City,https://images.fotmob.com/image_resources/logo/teamlogo/8197.png
Lincoln City,https://images.fotmob.com/image_resources/logo/teamlogo/8430.png
Liverpool,https://images.fotmob.com/image_resources/logo/teamlogo/8650.png
Manchester City,https://images.fotmob.com/image_resources/logo/teamlogo/8456.png
Manchester United,https://images.fotmob.com/image_resources/logo/teamlogo/10260.png
Newcastle United,https://images.fotmob.com/image_resources/logo/teamlogo/10261.png
Norwich City,https://images.fotmob.com/image_resources/logo/teamlogo/9850.png
Nottingham Forest,https://images.fotmob.com/image_resources/logo/teamlogo/10203.png
Sheffield United,https://images.fotmob.com/image_resources/logo/teamlogo/8657.png
Southampton,https://images.fotmob.com/image_resources/logo/teamlogo/8466.png
Stoke City,https://images.fotmob.com/image_resources/logo/teamlogo/10194.png
Swansea City,https://images.fotmob.com/image_resources/logo/teamlogo/10003.png
Tottenham Hotspur,https://images.fotmob.com/image_resources/logo/teamlogo/8586.png
Wolverhampton Wanderers,https://images.fotmob.com/image_resources/logo/teamlogo/8602.png
Wrexham,https://images.fotmob.com/image_resources/logo/teamlogo/9841.png
Wycombe Wanderers,https://images.fotmob.com/image_resources/logo/teamlogo/8676.png
German Football Association,https://www.dfb.de/icons/icon-96x96.png
1. FC K&ouml;ln,https://images.fotmob.com/image_resources/logo/teamlogo/8722.png
Bayern M&uuml;nchen,https://images.fotmob.com/image_resources/logo/teamlogo/9823.png
Borussia Dortmund,https://images.fotmob.com/image_resources/logo/teamlogo/9789.png
Borussia M&ouml;nchengladbach,https://images.fotmob.com/image_resources/logo/teamlogo/9788.png
Union Berlin,https://images.fotmob.com/image_resources/logo/teamlogo/8149.png
Wolfsburg,https://images.fotmob.com/image_resources/logo/teamlogo/8721.png
Atl&eacute;tico Madrid,https://images.fotmob.com/image_resources/logo/teamlogo/9906.png
Barcelona,https://images.fotmob.com/image_resources/logo/teamlogo/8634.png
Clermont Foot,https://images.fotmob.com/image_resources/logo/teamlogo/8311.png
Lyon,https://images.fotmob.com/image_resources/logo/teamlogo/9748.png
Marseille,https://images.fotmob.com/image_resources/logo/teamlogo/8592.png
Paris FC,https://images.fotmob.com/image_resources/logo/teamlogo/6379.png
Paris Saint-Germain,https://images.fotmob.com/image_resources/logo/teamlogo/9847.png
Monaco,https://images.fotmob.com/image_resources/logo/teamlogo/9829.png
Juventus,https://images.fotmob.com/image_resources/logo/teamlogo/9885.png
Parma,https://images.fotmob.com/image_resources/logo/teamlogo/10167.png
Portuguese Football Federation,https://www.fpf.pt/Portals/_default/Skins/FPFCommercial/images/fpf-logo.png
Benfica,https://images.fotmob.com/image_resources/logo/teamlogo/9772.png
Braga,https://images.fotmob.com/image_resources/logo/teamlogo/10264.png
FC Porto,https://images.fotmob.com/image_resources/logo/teamlogo/9773.png
Sporting CP,https://images.fotmob.com/image_resources/logo/teamlogo/9768.png
Dutch Football Association,https://sassets.knvb.nl/sites/all/themes/onlineunited/static/images/sitelogos/sitelogo-knvb-full.svg
Ajax,https://images.fotmob.com/image_resources/logo/teamlogo/8593.png
AZ Alkmaar,https://images.fotmob.com/image_resources/logo/teamlogo/10229.png
Feyenoord,https://images.fotmob.com/image_resources/logo/teamlogo/10235.png
PSV Eindhoven,https://images.fotmob.com/image_resources/logo/teamlogo/8640.png
FC K&oslash;benhavn,https://images.fotmob.com/image_resources/logo/teamlogo/8391.png
Norwegian Football Association,https://www.fotball.no/Static/images/favicons/favicon-96x96.png
Br&oslash;ndby IF,https://images.fotmob.com/image_resources/logo/teamlogo/8595.png
Club Brugge,https://images.fotmob.com/image_resources/logo/teamlogo/8342.png
Red Bull Soccer,https://images.fotmob.com/image_resources/logo/teamlogo/6514.png
New York Red Bulls,https://images.fotmob.com/image_resources/logo/teamlogo/6514.png
Red Bull Bragantino,https://images.fotmob.com/image_resources/logo/teamlogo/109705.png
Columbus Fury,https://provolleyball.com/imgproxy/XQDp1AoZT1R8ptzTTRirUYe_pahz-0ouEEYodr98_jk/rs:fit:1200:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMi8xMy83MzM2NzU1NC0wOGRhLTQ5MWEtOWYzNC00ZjFiMjkwNzc3MTIucG5n.png
McLaren Racing,https://careers.recruiteecdn.com/image/upload/production/images/-No/QywNarzmE329.png
Red Bull Racing,https://img.redbull.com/images/t_favicon_96/favicons/www.redbull.com/single-bull/favicon-96.png
US Olympic & Paralympic Committee,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&h=100&w=100
Dartmouth College,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/159.png&h=100&w=100
Denison University,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2171.png&h=100&w=100
Oklahoma State University,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/197.png&h=100&w=100
Rice University,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/242.png&h=100&w=100
Syracuse University,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/183.png&h=100&w=100
University of Arkansas,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/8.png&h=100&w=100
University of Cincinnati,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2132.png&h=100&w=100
University of Michigan,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png&h=100&w=100
University of Missouri,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/142.png&h=100&w=100
University of Notre Dame,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&h=100&w=100
University of Oklahoma,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png&h=100&w=100
University of Pittsburgh,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png&h=100&w=100
University of Tennessee,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png&h=100&w=100
Virginia Tech,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png&h=100&w=100
Overtime Elite,https://cf-production.teamworkonline.com/uploads/public/thumb_dc50831e-dd9d-45e1-bc01-705e7fce6e95.png
IMG Academy,https://cf-production.teamworkonline.com/uploads/public/thumb_4f854b9d-077b-43d6-a5fa-c3fe46602ffc.png
ESPN,https://a.espncdn.com/favicon.ico
Nike,<path d='M24 7.8L6.442 15.276c-1.456.616-2.679.925-3.668.925-1.12 0-1.933-.392-2.437-1.177-.317-.504-.41-1.143-.28-1.918.13-.775.476-1.6 1.036-2.478.467-.71 1.232-1.643 2.297-2.8a6.122 6.122 0 00-.784 1.848c-.28 1.195-.028 2.072.756 2.632.373.261.886.392 1.54.392.522 0 1.11-.084 1.764-.252L24 7.8z'/>
Teamworks,https://teamworks.com/wp-content/uploads/fav-icon-150x150.png
Zelus Analytics,https://cdn.prod.website-files.com/6526575290932cab2b63fb1c/6595b0ff4c56da826b0fa3b2_favicon.png
src|ftbl,https://assets-global.website-files.com/65fbe5e06874e8d2aefa7239/660160a90d24fc1fc93fc47b_favicon.png
SkillCorner,https://26560301.fs1.hubspotusercontent-eu1.net/hubfs/26560301/SkillCorner%20Icon.svg
Tokio Marine,https://companieslogo.com/img/orig/8766.T-3f7693c4.png
Blueprint Sports,https://lirp.cdn-website.com/8066b033/dms3rep/multi/opt/BPS+Logo+Final+10-2024-100w.png
Cleat Street,https://www.cleatstreet.app/55e28c13d03e03d5e599eef6dc87e021.png
PFF FC,https://fc.pff.com/images/apple-touch-icon-eac5db34262524daa68781793314cdab.png
Football Radar,https://pbs.twimg.com/profile_images/659346957492731904/T26hsqjJ_400x400.jpg
